Tier,Indicator,Current_Value,Yellow_Threshold,Red_Threshold,Status,Data_Source
Loan-level,30 DPD share,6.62%,30DPD > 4%,30DPD > 6%,RED,Monthly loan panel
Loan-level,60 DPD share,3.37%,60DPD > 2%,60DPD > 3.5%,YELLOW,Monthly loan panel
Vintage,6-month default rate vs same-vintage historical,+6% YoY,+20% YoY,+40% YoY,GREEN,Origination cohort
Segment,Grade-level EL realised vs predicted,gap = 6%,gap > 10%,gap > 20%,GREEN,Backtest rolling
Macro,Unemployment rate YoY change,? = +0.3pp,? unemp > +0.5pp,> +1pp,GREEN,BLS quarterly
Macro,LC application volume YoY,-5%,< ?10% YoY,< ?20% YoY,GREEN,LC quarterly
