Dimension,Proposed_Limit,Current_Value,Breach_by_pp,Breach
Single purpose / EAD,<= 40%,debt_consol 58.4%,18.4,True
Single grade / EAD,<= 25%,grade C 29.9%,4.9,True
Single state / EAD,<= 10%,CA 13.1%,3.1,True
Grade D-G combined / EAD,< 20%,20.9%,0.9,True
