Dimension,HHI,Benchmark,Breach,Largest_Segment,Largest_Share_%
Purpose,4074,1200,True,debt_consolidation,58.4
Grade,2363,900,True,C,29.9
Term,5003,5500,False,60m,51.2
State,586,600,False,CA,13.1
